data-dish,Название,Цена,Изображение,Адрес,Широта,Долгота
1092,Острый Чизбургер119.99 ₽,119.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1097,Острый Чикен Тар-Тар279.99 ₽,279.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1093,Острый Чикенбургер119.99 ₽,119.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1096,Острый Гамбургер119.99 ₽,119.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1544,Острый Фиш Бургер229.99 ₽,229.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8258,Острый Чизбургер Жюльен Двойной279.99 ₽,279.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8264,XXL соус Чили Чиз109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
3880,XXL соус 4 Сыра109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
443,Шримп Ролл Жюльен429.99 ₽,429.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
442,Чикен Ролл Жюльен349.99 ₽,349.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
270,Цезарь Ролл со стрипсами309.99 ₽,309.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
269,Шримп Ролл409.99 ₽,409.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
264,Воппер Ролл339.99 ₽,339.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1533,Фиш Ролл239.99 ₽,239.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8263,XXL соус Чили Чиз109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
3880,XXL соус 4 Сыра109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
5771,Перчатки19.99 ₽,19.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
3,Кинг Фри134.99 ₽,134.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
4,Картофель Деревенский189.99 ₽,189.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
444,Роял Фри с Лисичками389.99 ₽,389.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
5,Наггетсы194.99 ₽,194.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
10,Креветки504.99 ₽,504.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
9,Крылышки394.99 ₽,394.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8,Сырные Медальоны159.99 ₽,159.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
7,Луковые Кольца164.99 ₽,164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
24,Стрипсы444.99 ₽,444.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
73,Кинг Букет «Крылышки XXL»1 179.99 ₽,1 179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
72,Кинг Букет «Креветки»929.99 ₽,929.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
70,Кинг Букет «Снек-Микс»779.99 ₽,779.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
71,Кинг Букет «Большой Микс»	749.99 ₽,749.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
74,Кинг Букет «Креветки XXL»	1 589.99 ₽,1 589.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1254,Кинг Гоу Наггетсы209.99 ₽,209.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1253,Кинг Гоу Деревенский219.99 ₽,219.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
160,Приправа29.99 ₽,29.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8263,XXL соус Чили Чиз109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
3880,XXL соус 4 Сыра109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1288,2 соуса со скидкой99.99 ₽,99.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1289,3 соуса со скидкой119.99 ₽,119.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
5771,Перчатки19.99 ₽,19.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
11,Эвервесс Кола179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
346,Эвервесс Кола без сахара179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
360,Эвервесс Кола Вишня179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
15,Фрустайл Апельсин179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
16,Фрустайл Лимон Лайм179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
345,"Вода Аква Минерале без газа 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
76,"Вода Аква Минерале с газом 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
20,Липтон179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
19,Липтон Грин179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6965,"Эвервесс Кола Ваниль в бут. 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1931,"Эвервесс Кола б/с в бут. 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1033,"Эвервесс Кола в бутылке 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
315,"Липтон Лимон в бутылке 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
316,"Липтон Зеленый Чай в бут. 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1080,"Фрустайл Лимон Лайм в бут. 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1085,"Фрустайл Апельсин в бутылке 0,5л164.99 ₽",164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
273,Flash Up129.99 ₽,129.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
54,Энергетический напиток Адреналин Раш139.99 ₽,139.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8852,"Сок J7 Апельсин-Мандарин 0,2 л99.99 ₽",99.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
37,"Сок J7 Яблочный 0,2 л99.99 ₽",99.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
70,"Сок J7 Апельсиновый 0,2 л99.99 ₽",99.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8807,"Пунш Апельсин-Лайм за 79,9979.99 ₽",79.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
29,Капучино164.99 ₽,164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
28,Латте164.99 ₽,164.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
67,Кофе149.99 ₽,149.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
416,Капучино Айриш Крим204.99 ₽,204.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
415,Латте Айриш Крим204.99 ₽,204.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
25,Чай зеленый109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
26,Чай черный109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
49,Кофе Глясе179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
53,Двойной Эспрессо99.99 ₽,99.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
7802,Пунш Апельсин-Лайм99.99 ₽,99.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
84,Балтика №0 Безалкогольное Грейп.199.99 ₽,199.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
83,Балтика №0 Безалкогольное Светл.199.99 ₽,199.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
298,Шейк Манго-Маракуйя199.99 ₽,199.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
347,Малиновый Шейк189.99 ₽,189.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
349,Шоколадный Шейк189.99 ₽,189.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
350,"Шейк ""Пломбир""189.99 ₽",189.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8265,Пирожок Черника159.99 ₽,159.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
4548,Леденец49.99 ₽,49.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
339,M&M'S Айс Твист249.99 ₽,249.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
175,Пирожок с вишней149.99 ₽,149.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
296,Горячий Брауни169.99 ₽,169.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
295,Сандэй179.99 ₽,179.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
297,Рожок64.99 ₽,64.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
340,M&M’S Сандэй209.99 ₽,209.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8263,XXL соус Чили Чиз109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
3880,XXL соус 4 Сыра109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
